source,target,id,length,maxspeed,geometry,highway,cost,incoming_cell,outgoing_cell,lca_res
167891709,167936768,"(167891709, 167936768)",41.499,30.0,"LINESTRING (-84.60492706298828 37.09608840942383, -84.60505676269531 37.0964469909668)",residential,4.97988,8f2669a6961d961,8f2669a69603c5c,9
167891709,167891715,"(167891709, 167891715)",45.191,30.0,"LINESTRING (-84.60505676269531 37.0964469909668, -84.6048583984375 37.096492767333984, -84.60456085205078 37.09653854370117)",residential,5.4229199999999995,8f2669a69601c5e,8f2669a69603c5c,10
167891715,167891709,"(167891715, 167891709)",45.191,30.0,"LINESTRING (-84.60456085205078 37.09653854370117, -84.6048583984375 37.096492767333984, -84.60505676269531 37.0964469909668)",residential,5.4229199999999995,8f2669a69603c5c,8f2669a69601c5e,10
167891723,167891733,"(167891723, 167891733)",45.62,30.0,"LINESTRING (-84.60370635986328 37.077110290527344, -84.6034927368164 37.07722854614258, -84.60343170166016 37.077274322509766, -84.6033935546875 37.07732009887695, -84.60337829589844 37.07740020751953)",residential,5.474399999999999,8f44cb2c9c42130,8f44cb2c9c46a0b,10
167891733,167827485,"(167891733, 167827485)",41.981,30.0,"LINESTRING (-84.60337829589844 37.07740020751953, -84.60344696044922 37.077423095703125, -84.60352325439453 37.077476501464844, -84.60359191894531 37.077552795410156, -84.60366821289062 37.07768249511719)",residential,5.03772,8f44cb2c9c43c0b,8f44cb2c9c42130,10
167891733,167891723,"(167891733, 167891723)",45.620000000000005,30.0,"LINESTRING (-84.60337829589844 37.07740020751953, -84.6033935546875 37.07732009887695, -84.60343170166016 37.077274322509766, -84.6034927368164 37.07722854614258, -84.60370635986328 37.077110290527344)",residential,5.4744,8f44cb2c9c46a0b,8f44cb2c9c42130,10
167891733,167849595,"(167891733, 167849595)",15.215,30.0,"LINESTRING (-84.60337829589844 37.07740020751953, -84.60328674316406 37.0773811340332, -84.60321044921875 37.077388763427734)",residential,1.8257999999999999,8f44cb2c9c42521,8f44cb2c9c42130,11
167897824,167923047,"(167897824, 167923047)",17.007,50.0,"LINESTRING (-84.61750030517578 37.072750091552734, -84.61769104003906 37.07273483276367)",tertiary,1.224504,8f44cb2cd25a164,8f44cb2cd25a56b,11
167897824,167897827,"(167897824, 167897827)",64.2,30.0,"LINESTRING (-84.61750030517578 37.072750091552734, -84.61769104003906 37.073307037353516)",residential,7.704,8f2669a4da4a24d,8f44cb2cd25a56b,-1
167897824,167891876,"(167897824, 167891876)",166.588,50.0,"LINESTRING (-84.61750030517578 37.072750091552734, -84.61710357666016 37.071773529052734, -84.6169662475586 37.07144546508789, -84.61691284179688 37.071327209472656)",tertiary,11.994335999999999,8f44cb2cd2567b4,8f44cb2cd25a56b,9
167891876,8896212993,"(167891876, 8896212993)",56.614,50.0,"LINESTRING (-84.61691284179688 37.071327209472656, -84.61685943603516 37.07081985473633)",tertiary,4.076207999999999,8f44cb2cd20b95a,8f44cb2cd2567b4,8
167891876,167897824,"(167891876, 167897824)",166.588,50.0,"LINESTRING (-84.61691284179688 37.071327209472656, -84.6169662475586 37.07144546508789, -84.61710357666016 37.071773529052734, -84.61750030517578 37.072750091552734)",tertiary,11.994335999999999,8f44cb2cd25a56b,8f44cb2cd2567b4,9
167892256,167892258,"(167892256, 167892258)",41.098,30.0,"LINESTRING (-84.62403106689453 37.07439041137695, -84.62421417236328 37.074729919433594)",residential,4.93176,8f2669a4d324016,8f2669a4d3254a9,10
167892258,167892256,"(167892258, 167892256)",41.098,30.0,"LINESTRING (-84.62403106689453 37.07439041137695, -84.62421417236328 37.074729919433594)",residential,4.93176,8f2669a4d3254a9,8f2669a4d324016,10
167892258,167848909,"(167892258, 167848909)",223.017,30.0,"LINESTRING (-84.62421417236328 37.074729919433594, -84.62464904785156 37.075592041015625, -84.62406158447266 37.075809478759766, -84.623779296875 37.075923919677734, -84.62342834472656 37.0760498046875)",residential,26.76204,8f2669a4daaa46a,8f2669a4d324016,7
167892258,167837874,"(167892258, 167837874)",333.10499999999996,30.0,"LINESTRING (-84.62421417236328 37.074729919433594, -84.62358856201172 37.07498550415039, -84.62318420410156 37.07512283325195, -84.62288665771484 37.07520294189453, -84.62068939208984 37.075740814208984)",residential,39.97259999999999,8f2669a4da0a7b1,8f2669a4d324016,7
167892278,167834095,"(167892278, 167834095)",90.112,30.0,"LINESTRING (-84.61463165283203 37.10274887084961, -84.61506652832031 37.10348129272461)",residential,10.813439999999998,8f2669a6b86cdb2,8f2669a6b86d6e3,10
167892281,167834095,"(167892281, 167834095)",79.71,30.0,"LINESTRING (-84.61506652832031 37.10348129272461, -84.61541748046875 37.10414123535156)",residential,9.565199999999999,8f2669a6b86cdb2,8f2669a6b864250,9
167893743,6772341647,"(167893743, 6772341647)",25.745,30.0,"LINESTRING (-84.60257720947266 37.08976364135742, -84.6026382446289 37.089908599853516, -84.60267639160156 37.08998107910156)",residential,3.0894,8f44cb2c9674b96,8f44cb2c975a619,8
6772341647,167893745,"(6772341647, 167893745)",25.729,30.0,"LINESTRING (-84.60267639160156 37.08998107910156, -84.60277557373047 37.0901985168457)",residential,3.08748,8f44cb2c9675c86,8f44cb2c9674b96,10
6772341647,7009876677,"(6772341647, 7009876677)",60.537,40.0,"LINESTRING (-84.60267639160156 37.08998107910156, -84.60296630859375 37.089542388916016, -84.60299682617188 37.089500427246094)",unclassified,5.44833,8f44cb2c975840e,8f44cb2c9674b96,8
6772341647,167893743,"(6772341647, 167893743)",25.745,30.0,"LINESTRING (-84.60267639160156 37.08998107910156, -84.6026382446289 37.089908599853516, -84.60257720947266 37.08976364135742)",residential,3.0894,8f44cb2c975a619,8f44cb2c9674b96,8
167893745,7009935788,"(167893745, 7009935788)",8.101,30.0,"LINESTRING (-84.60277557373047 37.0901985168457, -84.6028060913086 37.090267181396484)",residential,0.97212,8f44cb2c967552d,8f44cb2c9675c86,11
167893745,6772341647,"(167893745, 6772341647)",25.729,30.0,"LINESTRING (-84.60267639160156 37.08998107910156, -84.60277557373047 37.0901985168457)",residential,3.08748,8f44cb2c9674b96,8f44cb2c9675c86,10
7009935788,7009935796,"(7009935788, 7009935796)",103.92200000000001,20.0,"LINESTRING (-84.6028060913086 37.090267181396484, -84.6024169921875 37.090335845947266, -84.60238647460938 37.09040832519531, -84.60235595703125 37.090511322021484, -84.60237121582031 37.09053039550781, -84.60258483886719 37.09048080444336, -84.60266876220703 37.09043502807617, -84.6027603149414 37.09038162231445, -84.60283660888672 37.09036636352539)",service,18.70596,8f44cb2c9675092,8f44cb2c967552d,11
7009935788,167893745,"(7009935788, 167893745)",8.101,30.0,"LINESTRING (-84.60277557373047 37.0901985168457, -84.6028060913086 37.090267181396484)",residential,0.97212,8f44cb2c9675c86,8f44cb2c967552d,11
7009935796,8933786061,"(7009935796, 8933786061)",19.026,30.0,"LINESTRING (-84.60283660888672 37.09036636352539, -84.60289764404297 37.09053039550781)",residential,2.28312,8f44cb2c9675640,8f44cb2c9675092,11
7009935796,7009935788,"(7009935796, 7009935788)",103.922,20.0,"LINESTRING (-84.60283660888672 37.09036636352539, -84.6027603149414 37.09038162231445, -84.60266876220703 37.09043502807617, -84.60258483886719 37.09048080444336, -84.60237121582031 37.09053039550781, -84.60235595703125 37.090511322021484, -84.60238647460938 37.09040832519531, -84.6024169921875 37.090335845947266, -84.6028060913086 37.090267181396484)",service,18.70596,8f44cb2c967552d,8f44cb2c9675092,11
8933786061,167837391,"(8933786061, 167837391)",49.806,30.0,"LINESTRING (-84.60289764404297 37.09053039550781, -84.6030502319336 37.09096145629883)",residential,5.976719999999999,8f44cb2c9644c85,8f44cb2c9675640,9
8933786061,7009935796,"(8933786061, 7009935796)",19.026,30.0,"LINESTRING (-84.60283660888672 37.09036636352539, -84.60289764404297 37.09053039550781)",residential,2.28312,8f44cb2c9675092,8f44cb2c9675640,11
8933786061,167893745,"(8933786061, 167893745)",61.746,20.0,"LINESTRING (-84.60289764404297 37.09053039550781, -84.60306549072266 37.09048080444336, -84.60295104980469 37.090232849121094, -84.6028823852539 37.090206146240234, -84.60283660888672 37.09019470214844, -84.60279846191406 37.09019470214844, -84.60277557373047 37.0901985168457)",service,11.11428,8f44cb2c9675c86,8f44cb2c9675640,11
7057070661,7674060274,"(7057070661, 7674060274)",14.575,30.0,"LINESTRING (-84.6031494140625 37.09122848510742, -84.60319519042969 37.09135437011719)",residential,1.7489999999999999,8f44cb2c9640919,8f44cb2c9644751,10
7057070661,167837391,"(7057070661, 167837391)",30.968,30.0,"LINESTRING (-84.6030502319336 37.09096145629883, -84.6031494140625 37.09122848510742)",residential,3.71616,8f44cb2c9644c85,8f44cb2c9644751,11
