length,maxspeed,geometry,highway,cost,incoming_cell,outgoing_cell,lca_res,id
5.354,30.0,"LINESTRING (-122.95089721679688 49.28599548339844, -122.95092010498047 49.28594970703125)",residential,0.6424799999999999,644733694750593814,644733694750595742,11,83
36.427,20.0,"LINESTRING (-122.95092010498047 49.28594970703125, -122.95085906982422 49.28593063354492, -122.95049285888672 49.2857780456543)",service,6.55686,644733694750591573,644733694750595742,10,84
299.842,30.0,"LINESTRING (-122.95092010498047 49.28594970703125, -122.95199584960938 49.28348159790039, -122.9520034790039 49.28346252441406, -122.9520492553711 49.283355712890625)",residential,35.98103999999999,644733694750645089,644733694750595742,9,85
36.427,20.0,"LINESTRING (-122.95049285888672 49.2857780456543, -122.95085906982422 49.28593063354492, -122.95092010498047 49.28594970703125)",service,6.55686,644733694750595742,644733694750591573,10,86
40.657,20.0,"LINESTRING (-122.94879150390625 49.288082122802734, -122.94918060302734 49.287818908691406)",service,7.3182599999999995,644733694749510763,644733694749516133,10,87
40.657,20.0,"LINESTRING (-122.94879150390625 49.288082122802734, -122.94918060302734 49.287818908691406)",service,7.3182599999999995,644733694749516133,644733694749510763,10,88
244.72400000000002,20.0,"LINESTRING (-122.94918060302734 49.287818908691406, -122.951416015625 49.286319732666016, -122.95146942138672 49.28628158569336, -122.9515151977539 49.286231994628906)",service,44.050320000000006,644733694749590261,644733694749510763,9,89
112.17399999999999,20.0,"LINESTRING (-122.94918060302734 49.287818908691406, -122.94902801513672 49.287841796875, -122.94857025146484 49.28794860839844, -122.94850158691406 49.287960052490234, -122.94843292236328 49.2879638671875, -122.9483871459961 49.28794860839844, -122.9483413696289 49.28792190551758, -122.9483413696289 49.28788375854492, -122.94835662841797 49.2878303527832, -122.9483871459961 49.287776947021484, -122.94859313964844 49.28753662109375)",service,20.19132,644733694749218386,644733694749510763,8,90
322.95799999999997,20.0,"LINESTRING (-122.9515151977539 49.286231994628906, -122.95155334472656 49.28618240356445, -122.95159912109375 49.286109924316406, -122.95256805419922 49.283939361572266, -122.95259857177734 49.283912658691406, -122.95263671875 49.28388977050781, -122.95268249511719 49.283878326416016, -122.95320129394531 49.28388595581055, -122.95323944091797 49.28389358520508, -122.95330810546875 49.283905029296875)",service,58.132439999999995,644733694746682734,644733694749590261,7,91
48.803999999999995,30.0,"LINESTRING (-122.9515151977539 49.286231994628906, -122.95199584960938 49.28641128540039, -122.9520263671875 49.28642272949219, -122.95210266113281 49.28644561767578)",residential,5.856479999999999,644733694749579635,644733694749590261,10,92
