,incoming_edge,outgoing_edge
14144,"(5801071045, 167931856)","(167931856, 5801071045)"
14145,"(12330873931, 12330873929)","(12330873929, 12330873930)"
14146,"(12725826559, 12725826558)","(12725826558, 12725826559)"
14147,"(11904603703, 11904603723)","(11904603723, 11904603726)"
14148,"(7009847805, 7009847803)","(7009847803, 7009847805)"
14149,"(7021117497, 6994174731)","(6994174731, 7021117508)"
14150,"(12728226180, 8896164394)","(8896164394, 6952592548)"
14151,"(7021085417, 7021085419)","(7021085419, 7021085420)"
14152,"(167844856, 9370952049)","(9370952049, 167844856)"
14153,"(8911873936, 8911873937)","(8911873937, 7021112310)"
14154,"(12484457437, 167830007)","(167830007, 167829993)"
14155,"(12728249042, 12728249029)","(12728249029, 12728249037)"
14156,"(167790745, 167860643)","(167860643, 167902585)"
14157,"(6762335501, 7009847827)","(7009847827, 7009847828)"
14158,"(167976204, 167927575)","(167927575, 167927572)"
14159,"(12736460458, 12725746287)","(12725746287, 12725746295)"
14160,"(167801889, 167995650)","(167995650, 167801889)"
14161,"(167790704, 167825885)","(167825885, 167790704)"
14162,"(167957641, 167944188)","(167944188, 167957641)"
14163,"(12158161931, 167790721)","(167790721, 7673816256)"
14164,"(167999905, 167999912)","(167999912, 167934296)"
14165,"(7021813477, 7021813478)","(7021813478, 7021813477)"
14166,"(167895082, 167895072)","(167895072, 167895466)"
14167,"(12725716097, 12725737806)","(12725737806, 12725716097)"
14168,"(7018292399, 7018292398)","(7018292398, 7018292396)"
14169,"(8944378443, 8944378442)","(8944378442, 8944378443)"
14170,"(12158161908, 167862562)","(167862562, 6837759141)"
14171,"(10133646104, 167821318)","(167821318, 167821315)"
14172,"(6861244943, 167832354)","(167832354, 6861244943)"
14173,"(12725716075, 7021873773)","(7021873773, 12725716075)"
14174,"(3469851438, 167964986)","(167964986, 3469851438)"
14175,"(12862535985, 12862535984)","(12862535984, 7021072812)"
14176,"(167893746, 167893748)","(167893748, 167965112)"
14177,"(167862391, 167862394)","(167862394, 10133642761)"
14178,"(12728143894, 11172650186)","(11172650186, 11172651740)"
14179,"(3359663095, 3359661472)","(3359661472, 3359663095)"
14180,"(7674060264, 7674060271)","(7674060271, 7674060273)"
14181,"(12723445805, 12723445806)","(12723445806, 12723443883)"
14182,"(7021112310, 7021112325)","(7021112325, 7021112310)"
14183,"(6861002705, 167846039)","(167846039, 167978614)"
14184,"(12728249037, 167922472)","(167922472, 12728249037)"
14185,"(11204131377, 11204131376)","(11204131376, 11204131342)"
14186,"(7009847793, 7009847791)","(7009847791, 7009847790)"
14187,"(10133717681, 10133751194)","(10133751194, 10133717677)"
14188,"(10147388317, 10147374612)","(10147374612, 10147374608)"
14189,"(12723483964, 12723483965)","(12723483965, 12723483976)"
14190,"(167974766, 12723445822)","(12723445822, 12723451318)"
14191,"(7017428563, 7017428562)","(7017428562, 7017428540)"
14192,"(7021112324, 7021112320)","(7021112320, 7021112324)"
14193,"(3359663183, 11624893181)","(11624893181, 11624890153)"
14194,"(7673816256, 167790719)","(167790719, 167790717)"
14195,"(167835205, 11980909196)","(11980909196, 167835205)"
14196,"(167935375, 11229161118)","(11229161118, 167935375)"
14197,"(12909904692, 13056132481)","(13056132481, 13056132482)"
14198,"(9658748055, 9658748050)","(9658748050, 9658748045)"
14199,"(8896164394, 8896164405)","(8896164405, 8896164403)"
14200,"(167944221, 167944218)","(167944218, 167944188)"
14201,"(11308349260, 11308349255)","(11308349255, 11308349260)"
14202,"(12723437925, 167886319)","(167886319, 12723437925)"
14203,"(7018292376, 7018292374)","(7018292374, 7018292376)"
14204,"(12728143884, 12728143887)","(12728143887, 12728143884)"
14205,"(167867048, 167867042)","(167867042, 167867039)"
14206,"(167938242, 167938240)","(167938240, 167860594)"
14207,"(13116669233, 13116669232)","(13116669232, 13116669234)"
14208,"(167923598, 167799665)","(167799665, 167923607)"
14209,"(167910765, 167999899)","(167999899, 167910765)"
14210,"(167929068, 167905048)","(167905048, 167930016)"
14211,"(167840315, 12161835648)","(12161835648, 12161835651)"
14212,"(8944378450, 8944378451)","(8944378451, 8944378465)"
14213,"(167938240, 167938242)","(167938242, 167938240)"
14214,"(8896164402, 8896164404)","(8896164404, 8896164406)"
14215,"(8890445835, 8890445834)","(8890445834, 8890445841)"
14216,"(168036148, 167923044)","(167923044, 167923045)"
14217,"(7016006748, 7016006749)","(7016006749, 7016006751)"
14218,"(167906428, 167906439)","(167906439, 167906428)"
14219,"(168019849, 8147673465)","(8147673465, 168019849)"
14220,"(167916869, 168080367)","(168080367, 168080370)"
14221,"(167830058, 167802672)","(167802672, 167830058)"
14222,"(167826996, 167826988)","(167826988, 167826979)"
14223,"(7018292434, 7018292442)","(7018292442, 7018292441)"
14224,"(12723445807, 12723445803)","(12723445803, 12723445807)"
14225,"(9658673574, 9658673575)","(9658673575, 9658673577)"
14226,"(3359695576, 7009847828)","(7009847828, 3359695576)"
14227,"(10197917511, 10197917512)","(10197917512, 10197924221)"
14228,"(167878235, 167890888)","(167890888, 167844848)"
14229,"(167938246, 167938244)","(167938244, 167938242)"
14230,"(12725716098, 12725716087)","(12725716087, 12725716098)"
14231,"(167895069, 167895072)","(167895072, 167895069)"
14232,"(12725741697, 167897813)","(167897813, 12725741697)"
14233,"(11898494765, 11898494761)","(11898494761, 11898494757)"
14234,"(167885139, 167885123)","(167885123, 167885139)"
14235,"(167867042, 167867039)","(167867039, 167978164)"
14236,"(7021117493, 7021117509)","(7021117509, 7021117510)"
14237,"(167860946, 167866969)","(167866969, 8026278934)"
14238,"(167934395, 167934401)","(167934401, 167830038)"
14239,"(7018292428, 7018292430)","(7018292430, 7018292311)"
14240,"(11471045720, 167895063)","(167895063, 11471045720)"
14241,"(167965084, 167829988)","(167829988, 167965084)"
14242,"(167817267, 167879177)","(167879177, 167983737)"
14243,"(3359695808, 7009847826)","(7009847826, 3359695808)"
14244,"(7009847804, 7009847806)","(7009847806, 7009847807)"
14245,"(167916872, 167916869)","(167916869, 168080367)"
14246,"(7018292305, 7018292347)","(7018292347, 7018292305)"
14247,"(7018292480, 7018292490)","(7018292490, 7018292494)"
14248,"(8890445888, 8890445889)","(8890445889, 167844843)"
14249,"(167882867, 167882869)","(167882869, 167897473)"
14250,"(167934395, 167934401)","(167934401, 168033151)"
14251,"(167862508, 167862530)","(167862530, 167862508)"
14252,"(7009822247, 7007141940)","(7007141940, 7009822247)"
14253,"(167923044, 168036148)","(168036148, 167923044)"
14254,"(168059283, 167923598)","(167923598, 168059283)"
14255,"(167827592, 167837868)","(167837868, 167837874)"
14256,"(168063394, 9335990882)","(9335990882, 168063394)"
14257,"(167862391, 167862394)","(167862394, 167862427)"
14258,"(11204131314, 11204131315)","(11204131315, 11204131314)"
14259,"(6861244953, 6861244943)","(6861244943, 6861244953)"
14260,"(6994174727, 7021117493)","(7021117493, 7021117492)"
14261,"(11470895597, 167964986)","(167964986, 3469851438)"
14262,"(7017428536, 7017428550)","(7017428550, 7017428546)"
14263,"(7018292455, 7018292369)","(7018292369, 7018292444)"
14264,"(3359695566, 7908997206)","(7908997206, 3359695566)"
14265,"(7017428560, 7017428558)","(7017428558, 7017428556)"
14266,"(12725741675, 12725741661)","(12725741661, 12725741677)"
14267,"(12725737801, 12725737802)","(12725737802, 12725737801)"
14268,"(167802619, 167802635)","(167802635, 167802672)"
14269,"(11204131614, 11204131613)","(11204131613, 11204131633)"
14270,"(8911873937, 8911873935)","(8911873935, 8911873937)"
14271,"(167916892, 167829982)","(167829982, 167916892)"
14272,"(167801989, 167881036)","(167881036, 11012160307)"
14273,"(7973686470, 7973686452)","(7973686452, 167965649)"
14274,"(8890422107, 8890422115)","(8890422115, 8890422107)"
14275,"(3469851452, 7016006743)","(7016006743, 3469851447)"
14276,"(167840697, 167845227)","(167845227, 167840697)"
14277,"(12725716075, 167955512)","(167955512, 12725716075)"
14278,"(7016006765, 7016006767)","(7016006767, 7016006766)"
14279,"(7021072806, 3469851437)","(3469851437, 7021072806)"
14280,"(7021085413, 7021085415)","(7021085415, 7021085419)"
14281,"(9658748023, 9658694815)","(9658694815, 9658748023)"
14282,"(167829988, 167965084)","(167965084, 7057070665)"
14283,"(7021072794, 7016006731)","(7016006731, 9888956671)"
14284,"(167903613, 167903610)","(167903610, 167903613)"
14285,"(167887612, 167870190)","(167870190, 167887612)"
14286,"(167923046, 167953705)","(167953705, 167851984)"
14287,"(6952592546, 8896164396)","(8896164396, 8896164398)"
14288,"(11898529978, 11898494765)","(11898494765, 11898529978)"
14289,"(167936762, 167964916)","(167964916, 167923046)"
14290,"(167978177, 167996139)","(167996139, 167827249)"
14291,"(10133751217, 10133751207)","(10133751207, 10133751217)"
14292,"(167976151, 167972978)","(167972978, 12728243595)"
14293,"(167857213, 167939694)","(167939694, 167857213)"
14294,"(6952592554, 6952592548)","(6952592548, 8896164394)"
14295,"(12330873930, 167844797)","(167844797, 10170096928)"
14296,"(11172616609, 11172616615)","(11172616615, 11172616609)"
14297,"(167939971, 167854845)","(167854845, 167827930)"
14298,"(12725741660, 12725741670)","(12725741670, 12725741660)"
14299,"(167882867, 167897466)","(167897466, 167882867)"
14300,"(167887594, 167935375)","(167935375, 167887594)"
14301,"(167801899, 167981684)","(167981684, 167801913)"
14302,"(7009847819, 6762335502)","(6762335502, 7009847817)"
14303,"(11204131312, 11204131310)","(11204131310, 11204117731)"
14304,"(11308349220, 11308349219)","(11308349219, 11308349220)"
14305,"(12723388778, 12723388765)","(12723388765, 12723388770)"
14306,"(12725717150, 12725717122)","(12725717122, 12725717150)"
14307,"(167958688, 167958696)","(167958696, 167868741)"
14308,"(11980600842, 11980600837)","(11980600837, 11980600865)"
14309,"(10133642780, 10133642779)","(10133642779, 167799562)"
14310,"(7021090889, 7021090890)","(7021090890, 12330873936)"
14311,"(12862535998, 12862536208)","(12862536208, 12862535998)"
14312,"(167850248, 167895082)","(167895082, 167895466)"
14313,"(167903303, 167932277)","(167932277, 167903303)"
14314,"(12909904673, 12909904671)","(12909904671, 12909904673)"
14315,"(3359631975, 167922396)","(167922396, 3359631957)"
14316,"(167862427, 167862262)","(167862262, 167862267)"
14317,"(167868386, 168011276)","(168011276, 167935264)"
14318,"(167940538, 167827477)","(167827477, 168092612)"
14319,"(7973686452, 7973686470)","(7973686470, 167965709)"
14320,"(12725741661, 12725741677)","(12725741677, 12725741674)"
14321,"(167867029, 167867020)","(167867020, 167842158)"
14322,"(168014031, 168004033)","(168004033, 168004074)"
14323,"(12723463460, 167995474)","(167995474, 167938224)"
14324,"(12723388393, 12723388381)","(12723388381, 12723388393)"
14325,"(12725796929, 3359661482)","(3359661482, 12330873940)"
14326,"(7018292442, 7018292443)","(7018292443, 7018292440)"
14327,"(9658673568, 9658673571)","(9658673571, 9658673570)"
14328,"(11980909252, 11980909227)","(11980909227, 11980909221)"
14329,"(9335990856, 7018292347)","(7018292347, 9335990857)"
14330,"(11204131365, 11204131364)","(11204131364, 167889777)"
14331,"(167829593, 167999430)","(167999430, 167829593)"
14332,"(7009847828, 7009847827)","(7009847827, 7009847828)"
14333,"(10208407133, 3469851437)","(3469851437, 7021072806)"
14334,"(12728249037, 12728249042)","(12728249042, 12728249037)"
14335,"(3359663294, 168030531)","(168030531, 167815409)"
14336,"(3359695566, 8888995019)","(8888995019, 7908997212)"
14337,"(12723437920, 12723437922)","(12723437922, 12723437921)"
14338,"(167890112, 167890120)","(167890120, 167834108)"
14339,"(7021117499, 7021117507)","(7021117507, 7021117513)"
14340,"(10208407157, 10208407134)","(10208407134, 10208407136)"
14341,"(7018292425, 7018292424)","(7018292424, 7018292425)"
14342,"(12330873940, 12330873938)","(12330873938, 12330873939)"
14343,"(167868805, 167868814)","(167868814, 167940043)"
14344,"(10133642755, 10133642756)","(10133642756, 10133642755)"
14345,"(11172651744, 11172651741)","(11172651741, 11172651749)"
14346,"(7018292372, 7018292396)","(7018292396, 7018292397)"
14347,"(167959473, 167902585)","(167902585, 167971372)"
14348,"(7009847788, 7009847789)","(7009847789, 7009847790)"
14349,"(11980909266, 11980909264)","(11980909264, 11980921010)"
14350,"(167923044, 168036148)","(168036148, 168036151)"
14351,"(167887522, 167887521)","(167887521, 168019206)"
14352,"(167948646, 167930016)","(167930016, 167948646)"
14353,"(7021072815, 7021072799)","(7021072799, 7021072822)"
14354,"(7021090890, 12330873936)","(12330873936, 12330873935)"
14355,"(167791143, 167867017)","(167867017, 167942187)"
14356,"(12728143900, 12728185806)","(12728185806, 12728185821)"
14357,"(7016006760, 7016006768)","(7016006768, 12728215419)"
14358,"(7009822231, 7007141932)","(7007141932, 7009822231)"
14359,"(167800513, 167800528)","(167800528, 167829564)"
14360,"(167897647, 167923044)","(167923044, 167964912)"
14361,"(7009847818, 7009847820)","(7009847820, 7009847821)"
14362,"(167883825, 6994174727)","(6994174727, 7021117493)"
14363,"(9888956670, 10147374607)","(10147374607, 9888956670)"
14364,"(7018292447, 7018292448)","(7018292448, 7018292449)"
14365,"(3469851446, 3469851447)","(3469851447, 3469851446)"
14366,"(2980998680, 167843575)","(167843575, 2980998680)"
14367,"(7016006739, 3469851452)","(3469851452, 7016006739)"
14368,"(7021090891, 12330873925)","(12330873925, 7021090891)"
14369,"(9335990820, 9335990821)","(9335990821, 9335990886)"
14370,"(12725741672, 12725741673)","(12725741673, 12725741687)"
14371,"(167938240, 167939694)","(167939694, 167857219)"
14372,"(167910765, 167999899)","(167999899, 167995480)"
14373,"(11624893179, 11624893170)","(11624893170, 11624893179)"
14374,"(12728158837, 12728158838)","(12728158838, 12728158839)"
14375,"(167885981, 167885972)","(167885972, 167790756)"
14376,"(12862535995, 8890841862)","(8890841862, 167882803)"
14377,"(167868805, 167868803)","(167868803, 167889736)"
14378,"(12723388333, 12723388317)","(12723388317, 12723388318)"
14379,"(12723445802, 12723445812)","(12723445812, 12723445802)"
14380,"(12723388365, 12723388358)","(12723388358, 12723388328)"
14381,"(7177835038, 7177835035)","(7177835035, 7177835029)"
14382,"(167978177, 167867042)","(167867042, 167867039)"
14383,"(12723483948, 12723483954)","(12723483954, 12723483944)"
14384,"(12862536205, 12862535999)","(12862535999, 12862536205)"
14385,"(167854839, 167854845)","(167854845, 167939971)"
14386,"(168010960, 10175955030)","(10175955030, 3359695570)"
14387,"(167964176, 167964173)","(167964173, 167964176)"
14388,"(10133642753, 10133642755)","(10133642755, 10133642757)"
14389,"(167886319, 12723437925)","(12723437925, 167886319)"
14390,"(167978164, 168039620)","(168039620, 168001533)"
14391,"(11627263684, 11627263678)","(11627263678, 11627263684)"
14392,"(12723437924, 12723437907)","(12723437907, 12723437924)"
14393,"(7009822241, 7009822231)","(7009822231, 7009822232)"
14394,"(10050195849, 167959476)","(167959476, 167944274)"
14395,"(7673816261, 7673816257)","(7673816257, 7673816258)"
14396,"(10133642749, 10133642747)","(10133642747, 10133642746)"
14397,"(167845125, 167845123)","(167845123, 167845125)"
14398,"(12725741665, 12725741662)","(12725741662, 12725741677)"
14399,"(167886233, 167886262)","(167886262, 167886300)"
14400,"(3359695804, 7019713459)","(7019713459, 6762335505)"
14401,"(7009847798, 7009847799)","(7009847799, 7009847797)"
14402,"(167827485, 167827477)","(167827477, 168092612)"
14403,"(11172651747, 11172651749)","(11172651749, 11172651747)"
14404,"(12723437922, 12723437924)","(12723437924, 12723437907)"
14405,"(2980998676, 167999467)","(167999467, 167906445)"
14406,"(3469851438, 167964986)","(167964986, 3525966548)"
14407,"(6071061225, 11204131458)","(11204131458, 11204131459)"
14408,"(7021117508, 8911873938)","(8911873938, 7021117508)"
14409,"(12723388365, 12723388328)","(12723388328, 12723388358)"
14410,"(11624893216, 11624893218)","(11624893218, 11624893217)"
14411,"(12927637164, 12927637158)","(12927637158, 168042339)"
14412,"(3469851438, 167827664)","(167827664, 167827658)"
14413,"(167889777, 167844654)","(167844654, 167844656)"
14414,"(167880932, 167827000)","(167827000, 167880923)"
14415,"(167832350, 167832354)","(167832354, 167832350)"
14416,"(7009847820, 7009847818)","(7009847818, 7009847820)"
14417,"(11624893177, 11624893179)","(11624893179, 11624893170)"
14418,"(9888956670, 7016006757)","(7016006757, 7016006756)"
14419,"(7018292380, 7018292381)","(7018292381, 7018292382)"
14420,"(167801913, 167981684)","(167981684, 167801913)"
14421,"(12728143894, 12728143891)","(12728143891, 12728143900)"
14422,"(9658673569, 9658673568)","(9658673568, 9658673574)"
14423,"(167801934, 167801899)","(167801899, 167801934)"
14424,"(167883801, 167883798)","(167883798, 167883801)"
14425,"(11980909231, 11980909226)","(11980909226, 11980909220)"
14426,"(167870024, 167870027)","(167870027, 167870033)"
14427,"(167947122, 167947117)","(167947117, 167947111)"
14428,"(9658748026, 9658748028)","(9658748028, 9658748030)"
14429,"(168028903, 168028887)","(168028887, 167861822)"
14430,"(12725746281, 12725746295)","(12725746295, 12725746281)"
14431,"(167886802, 3359663296)","(3359663296, 168030570)"
14432,"(11904603710, 11904603723)","(11904603723, 11904603703)"
14433,"(167808774, 8890445867)","(8890445867, 167808793)"
14434,"(167882865, 167906417)","(167906417, 167897453)"
14435,"(13116669232, 13116669234)","(13116669234, 13116669235)"
14436,"(11204131636, 11204131635)","(11204131635, 11204131633)"
14437,"(12728143883, 12728185811)","(12728185811, 12728185812)"
14438,"(9658673583, 9658673581)","(9658673581, 9658673580)"
14439,"(167954582, 167867007)","(167867007, 167860946)"
14440,"(1135035657, 11471045721)","(11471045721, 167895063)"
14441,"(167882852, 167923047)","(167923047, 167882850)"
14442,"(167829691, 167829677)","(167829677, 9658748043)"
14443,"(7016006750, 7016006747)","(7016006747, 7016006746)"
14444,"(167830038, 167934401)","(167934401, 167934395)"
14445,"(167848877, 167858322)","(167858322, 3588414422)"
14446,"(8890445888, 8890445889)","(8890445889, 8890445888)"
14447,"(3588414422, 3588414421)","(3588414421, 3588414420)"
14448,"(7018292452, 7018292451)","(7018292451, 7018292450)"
14449,"(9658673570, 9658673571)","(9658673571, 9658673568)"
14450,"(167934401, 167830038)","(167830038, 167830046)"
14451,"(10133642763, 167799566)","(167799566, 10133642763)"
14452,"(11308349223, 11308349227)","(11308349227, 11308349223)"
14453,"(12728158833, 12728158840)","(12728158840, 12728158838)"
14454,"(167891715, 167891709)","(167891709, 167891715)"
14455,"(7021085415, 7021085419)","(7021085419, 7021085415)"
14456,"(11204131611, 11204131613)","(11204131613, 11204131633)"
14457,"(167999467, 167843566)","(167843566, 167977264)"
14458,"(8911873936, 4665883747)","(4665883747, 4665883756)"
14459,"(10133642773, 10133642775)","(10133642775, 10133642774)"
14460,"(7016006753, 7016006755)","(7016006755, 7016006756)"
14461,"(12330873927, 12330873928)","(12330873928, 12330873926)"
14462,"(167887521, 167887522)","(167887522, 167981742)"
14463,"(11980892519, 11980892498)","(11980892498, 11980892519)"
14464,"(12723369533, 12723369534)","(12723369534, 12723369535)"
14465,"(167925939, 167925995)","(167925995, 167925939)"
14466,"(12728185811, 12728185812)","(12728185812, 12728143887)"
14467,"(12728158827, 167821315)","(167821315, 167821318)"
14468,"(168011276, 167935264)","(167935264, 168011276)"
14469,"(168032335, 639305867)","(639305867, 639305875)"
14470,"(167821449, 8890445864)","(8890445864, 167808793)"
14471,"(167893748, 167965112)","(167965112, 167893748)"
14472,"(12330873940, 12330873935)","(12330873935, 7021090903)"
14473,"(7009847821, 7009847824)","(7009847824, 7009847818)"
14474,"(7018292383, 7018292382)","(7018292382, 7018292383)"
14475,"(10133751195, 10133751207)","(10133751207, 10133751217)"
14476,"(10219057315, 10219057316)","(10219057316, 10219057315)"
14477,"(12725717135, 12725717142)","(12725717142, 12725717133)"
14478,"(167887511, 167887476)","(167887476, 167887511)"
14479,"(167867020, 167867029)","(167867029, 167867039)"
14480,"(11470895597, 167964986)","(167964986, 3525966548)"
14481,"(12724932350, 167925939)","(167925939, 12724932350)"
14482,"(8890422107, 8890422106)","(8890422106, 8890422107)"
14483,"(7018292429, 7018292428)","(7018292428, 7018292430)"
14484,"(13116669241, 13116669235)","(13116669235, 13116669241)"
14485,"(11624893200, 11624893201)","(11624893201, 11624893200)"
14486,"(7009822232, 7009822230)","(7009822230, 7007141928)"
14487,"(168017200, 167870287)","(167870287, 168017200)"
14488,"(167826017, 167826020)","(167826020, 167826017)"
14489,"(167869751, 7021128748)","(7021128748, 167869751)"
14490,"(167947625, 167906441)","(167906441, 167906439)"
14491,"(7021117497, 7021117491)","(7021117491, 7021117497)"
14492,"(167944274, 167944271)","(167944271, 167790747)"
14493,"(167953714, 167995802)","(167995802, 167851940)"
14494,"(167829627, 167829637)","(167829637, 167829677)"
14495,"(168039620, 168001533)","(168001533, 168001540)"
14496,"(7018292389, 7018292390)","(7018292390, 7018292392)"
14497,"(11172651741, 11172616635)","(11172616635, 11172651741)"
14498,"(10136481932, 10136481935)","(10136481935, 10136481938)"
14499,"(167947091, 168017200)","(168017200, 167968871)"
14500,"(8890445790, 8890445789)","(8890445789, 8890445765)"
14501,"(167889777, 167844654)","(167844654, 167844622)"
14502,"(167953705, 167872619)","(167872619, 167953705)"
14503,"(3359673801, 3359673809)","(3359673809, 3359673795)"
14504,"(10147388317, 10147374612)","(10147374612, 10147374607)"
14505,"(12728158826, 12728158837)","(12728158837, 12728158838)"
14506,"(168080370, 168080367)","(168080367, 167829990)"
14507,"(7021112324, 7021112320)","(7021112320, 7021112323)"
14508,"(12736460458, 168014006)","(168014006, 12736460458)"
14509,"(167835136, 11980909196)","(11980909196, 11980909197)"
14510,"(167844848, 9370952049)","(9370952049, 167844848)"
14511,"(167897649, 167910765)","(167910765, 167897649)"
14512,"(12723388770, 12723388765)","(12723388765, 12723388778)"
14513,"(7018292381, 7018292380)","(7018292380, 7018292379)"
14514,"(7018292443, 7018292442)","(7018292442, 7018292434)"
14515,"(7672180487, 7672174266)","(7672174266, 7672174273)"
14516,"(8890445789, 8890445765)","(8890445765, 8890445771)"
14517,"(167963753, 167881159)","(167881159, 167819265)"
14518,"(7009847799, 7009847797)","(7009847797, 7009847795)"
14519,"(167844788, 167976173)","(167976173, 167844782)"
14520,"(9658673579, 9658673577)","(9658673577, 9658673575)"
14521,"(167821454, 8890445789)","(8890445789, 8890445765)"
14522,"(13056132490, 13056132493)","(13056132493, 13056132490)"
14523,"(167801968, 167882927)","(167882927, 167881036)"
14524,"(7018292430, 7018292428)","(7018292428, 7018292427)"
14525,"(13116669232, 8147673465)","(8147673465, 13116669231)"
14526,"(168054963, 167870659)","(167870659, 167862518)"
14527,"(7018292400, 7018292409)","(7018292409, 7018292407)"
14528,"(12862536209, 12862536208)","(12862536208, 12862536209)"
14529,"(167829613, 167840463)","(167840463, 167829613)"
14530,"(9658673568, 9658673569)","(9658673569, 9658673570)"
14531,"(9658748025, 9658748024)","(9658748024, 9658748042)"
14532,"(167829587, 167910579)","(167910579, 167829587)"
14533,"(7017428575, 7017428579)","(7017428579, 7017428575)"
14534,"(167799566, 10133642763)","(10133642763, 10133642764)"
14535,"(7009847789, 7009847788)","(7009847788, 7019727510)"
14536,"(10169524499, 10169524516)","(10169524516, 10169524509)"
14537,"(13056132492, 13056132495)","(13056132495, 13056132492)"
14538,"(12161835653, 167849571)","(167849571, 167846039)"
14539,"(6762331446, 6762331447)","(6762331447, 6762331439)"
14540,"(8890445765, 8890445771)","(8890445771, 8890445917)"
14541,"(12728158841, 12728158839)","(12728158839, 12728158837)"
14542,"(3469851442, 9888956671)","(9888956671, 7016006731)"
14543,"(7009847810, 7009847816)","(7009847816, 7009847810)"
14544,"(7672174271, 167897647)","(167897647, 167923044)"
14545,"(8890445840, 8890445846)","(8890445846, 8890445840)"
14546,"(167790719, 167790717)","(167790717, 167862553)"
14547,"(12723369532, 8896164393)","(8896164393, 6952592546)"
14548,"(167891876, 8896212993)","(8896212993, 8896212994)"
14549,"(10133717677, 10133717680)","(10133717680, 167880941)"
14550,"(7009847817, 7009847816)","(7009847816, 7009847815)"
14551,"(167874580, 167874573)","(167874573, 167874580)"
14552,"(7674060272, 7674060273)","(7674060273, 7674060271)"
14553,"(10133717680, 10133717677)","(10133717677, 10133717680)"
14554,"(167906428, 167947616)","(167947616, 167891743)"
14555,"(167976143, 167976148)","(167976148, 12728243585)"
14556,"(167884508, 167902747)","(167902747, 167884508)"
14557,"(7021112349, 7021112350)","(7021112350, 7021112348)"
14558,"(167857219, 167857213)","(167857213, 167857219)"
14559,"(167890112, 167890120)","(167890120, 167934413)"
14560,"(167801651, 167791331)","(167791331, 167873289)"
14561,"(168036151, 168036148)","(168036148, 168036145)"
14562,"(167790704, 167825885)","(167825885, 167902405)"
14563,"(11204131435, 11204131434)","(11204131434, 11204131432)"
14564,"(3525966543, 3525966529)","(3525966529, 3525966543)"
14565,"(167878232, 167844856)","(167844856, 9370952049)"
14566,"(12723404692, 12723404697)","(12723404697, 12723404692)"
14567,"(167799553, 167922499)","(167922499, 167799553)"
14568,"(167829677, 9658748043)","(9658748043, 167862597)"
14569,"(8890445920, 8890445763)","(8890445763, 8890445917)"
14570,"(167897544, 167938244)","(167938244, 167938246)"
14571,"(167922525, 11172662180)","(11172662180, 11172662181)"
14572,"(12723369535, 12723369540)","(12723369540, 12723369522)"
14573,"(167933796, 167983909)","(167983909, 167933796)"
14574,"(7021072804, 7021072802)","(7021072802, 7021072804)"
14575,"(8890422102, 8890445840)","(8890445840, 8890422102)"
14576,"(11471045766, 11471045765)","(11471045765, 11471045766)"
14577,"(167983887, 167886319)","(167886319, 167983887)"
14578,"(167882863, 167880923)","(167880923, 12725796950)"
14579,"(13116669235, 13116669241)","(13116669241, 13116669233)"
14580,"(167870287, 168017200)","(168017200, 167870287)"
14581,"(10050195849, 167959476)","(167959476, 168055585)"
14582,"(3359695576, 7009847828)","(7009847828, 7009847826)"
14583,"(10147374610, 7016006754)","(7016006754, 7016006753)"
14584,"(7016006763, 7016006760)","(7016006760, 7016006763)"
14585,"(7018292377, 7018292379)","(7018292379, 7018292377)"
14586,"(7019727510, 7009847788)","(7009847788, 6762335499)"
14587,"(167829593, 167829591)","(167829591, 167829587)"
14588,"(7016006765, 7016006767)","(7016006767, 7016006765)"
14589,"(10133646103, 10133646104)","(10133646104, 167821318)"
14590,"(8888995019, 7908997212)","(7908997212, 7908997213)"
14591,"(8896164396, 6952592546)","(6952592546, 8896164393)"
14592,"(10133642776, 10133642775)","(10133642775, 10133642776)"
14593,"(12725716073, 12725716087)","(12725716087, 12725716098)"
14594,"(167814172, 167835260)","(167835260, 167808116)"
14595,"(12725716082, 12725716100)","(12725716100, 12725716082)"
14596,"(167800513, 167861335)","(167861335, 2044192683)"
14597,"(7018292296, 7018292453)","(7018292453, 7018292451)"
14598,"(167849548, 167849544)","(167849544, 167849548)"
14599,"(167837391, 7057070661)","(7057070661, 167837391)"
14600,"(11204131314, 11204131312)","(11204131312, 11204131313)"
14601,"(3359695811, 3359695816)","(3359695816, 3359695814)"
14602,"(7009876683, 167835427)","(167835427, 167931856)"
14603,"(12723369534, 12723369535)","(12723369535, 12723369540)"
14604,"(10147388318, 10147374611)","(10147374611, 10147374610)"
14605,"(10133642775, 10133642773)","(10133642773, 10133642775)"
14606,"(11624893177, 11624893179)","(11624893179, 11624893176)"
14607,"(167878243, 167878235)","(167878235, 167878243)"
14608,"(167867690, 167947117)","(167947117, 167947122)"
14609,"(168063511, 10219057314)","(10219057314, 168063511)"
14610,"(167829988, 167829982)","(167829982, 167829988)"
14611,"(4851588564, 167931142)","(167931142, 4851588564)"
14612,"(11172651746, 7021128748)","(7021128748, 167869751)"
14613,"(7017428547, 167995656)","(167995656, 167995654)"
14614,"(7021090889, 7021090903)","(7021090903, 7021090889)"
14615,"(12723369535, 12723369534)","(12723369534, 12723369533)"
14616,"(167882863, 167880923)","(167880923, 167882863)"
14617,"(12723533118, 12723533117)","(12723533117, 12723533120)"
